"region_pair","freq_band","els_par_pval","els_spval","els_cgrp_intn_par_pval","els_cgrp_intn_spval"
"AMY_x_RPBN",1,0.998709402413171,2e-16,0.0218981564459595,2e-16
"AMY_x_VPM",1,0.93569919697915,2e-16,2e-16,2e-16
"Acc_x_AMY",2,0.852698855691661,2e-16,0.399656929237273,3.96057707685582e-06
"AMY_x_LPBN",2,0.977667549939093,8.15867574283091e-06,0.148846338249083,2e-16
"AMY_x_MD_thal",2,0.997208064631019,2e-16,2e-16,2e-16
"AMY_x_Po",2,0.78520835760661,2e-16,0.000427451254340924,2e-16
"AMY_x_RPBN",2,0.926449910742111,0.00133034157734407,0.000129410628815755,2e-16
"AMY_x_VPM",2,0.813455432770294,2e-16,2.03688981979495e-10,2e-16
"Acc_x_AMY",3,0.948482292433283,2e-16,0.852170817781832,2e-16
"AMY_x_LPBN",3,0.985726512557718,2e-16,0.20944870962573,2e-16
"AMY_x_MD_thal",3,0.994715378665499,2e-16,2e-16,2e-16
"AMY_x_Po",3,0.802041607596094,2e-16,3.79578713843022e-05,2e-16
"AMY_x_RPBN",3,0.998935997283676,2e-16,0.444853848095566,2e-16
"AMY_x_VPM",3,0.904074459630135,2e-16,3.5775521977396e-15,2e-16
"Acc_x_AMY",4,0.378849588052495,1.68298483105289e-05,0.000165124023196954,7.256357753882e-05
"AMY_x_LPBN",4,0.861331883768186,2e-16,0.185638578854594,2e-16
"AMY_x_MD_thal",4,0.626889903946282,2e-16,2e-16,8.32340791756536e-06
"AMY_x_Po",4,0.73835947014497,2e-16,2e-16,1.03275395207936e-06
"AMY_x_RPBN",4,0.965276755360685,2e-16,2.78144883583204e-09,2e-16
"AMY_x_VPM",4,0.491378288508991,2e-16,0.784013981441468,2e-16
