"region_pair","freq_band","els_effect","els_cgrp_intn_effect"
"Acc_x_LPBN",1,-0.121751866929265,-0.030835581630061
"Acc_x_MD_thal",1,-0.171542587153263,-0.0809811641508913
"Acc_x_Po",1,-0.112930726656301,0.0413999131275676
"Acc_x_RPBN",1,-0.128339867628701,-0.0380490377441215
"Acc_x_VPM",1,-0.0564626003591158,0.163157173612801
"LPBN_x_MD_thal",1,-0.040341881681684,-0.0797790478869001
"LPBN_x_Po",1,-0.00273283062129372,-0.0491726641635235
"LPBN_x_RPBN",1,0.0415770463534025,-0.0581874749363188
"LPBN_x_VPM",1,-0.0565815706731835,-0.0304619608089996
"MD_thal_x_Po",1,-0.0113516662052668,-0.137544775529947
"MD_thal_x_RPBN",1,-0.102624039311602,-0.109903119632446
"MD_thal_x_VPM",1,-0.0269256908941189,-0.0180682316057169
"Po_x_RPBN",1,-0.0325435318264289,-0.101784635094027
"Po_x_VPM",1,-0.0329170261052161,0.128792657605551
"RPBN_x_VPM",1,-0.0740986757360717,-0.0998137009544922
"Acc_x_LPBN",2,-0.025868418084581,0.00516192397955222
"Acc_x_MD_thal",2,-0.0874651107712,-0.0591786421928066
"Acc_x_Po",2,-0.0866537454137895,-0.00552125520651309
"Acc_x_RPBN",2,-0.0573909573798244,0.0657526381434174
"Acc_x_VPM",2,-0.0294068116105631,0.0649926279299857
"LPBN_x_MD_thal",2,-0.030640073940229,-0.115742188222319
"LPBN_x_Po",2,-0.040865281829783,-0.0694357159222407
"LPBN_x_RPBN",2,-0.0135498347532122,-0.0149298969357706
"LPBN_x_VPM",2,-0.0382771477494897,-0.0434032542963456
"MD_thal_x_Po",2,-0.0691675781897058,-0.239471777152591
"MD_thal_x_RPBN",2,-0.0886239346767823,-0.0934936152786786
"MD_thal_x_VPM",2,-0.0467110821469838,-0.103124048778721
"Po_x_RPBN",2,-0.0613427251787749,-0.102590459495132
"Po_x_VPM",2,-0.0703630086264382,0.00515730884445922
"RPBN_x_VPM",2,-0.054722762711373,-0.0609680301157538
"Acc_x_LPBN",3,-0.0617149940452806,-0.0105915448144753
"Acc_x_MD_thal",3,-0.11483087920627,-0.0703554605824216
"Acc_x_Po",3,-0.0860776903079772,0.00864433875648515
"Acc_x_RPBN",3,-0.0814398728647726,0.0182760649464228
"Acc_x_VPM",3,-0.0389087905027092,0.101504642080267
"LPBN_x_MD_thal",3,-0.0342879488415684,-0.0968500756951196
"LPBN_x_Po",3,-0.0243315980760216,-0.0600534264878431
"LPBN_x_RPBN",3,0.014036598284813,-0.0311987073428295
"LPBN_x_VPM",3,-0.0440154784171625,-0.0365204346038925
"MD_thal_x_Po",3,-0.0433124483526232,-0.193519835832229
"MD_thal_x_RPBN",3,-0.090842718287836,-0.09808406945627
"MD_thal_x_VPM",3,-0.0385150113029963,-0.0687453731217884
"Po_x_RPBN",3,-0.0473889357938896,-0.0991225823331408
"Po_x_VPM",3,-0.0549901298049849,0.0561534113101477
"RPBN_x_VPM",3,-0.0591782214848834,-0.0728681713852639
"Acc_x_LPBN",4,0.126623232575451,0.0797740972667574
"Acc_x_MD_thal",4,-0.0729876571314997,-0.0522807942947175
"Acc_x_Po",4,-0.052707852774749,-0.0457967608286918
"Acc_x_RPBN",4,0.0978211578624097,0.114822786473158
"Acc_x_VPM",4,-0.0151967347640874,0.014916394211122
"LPBN_x_MD_thal",4,-0.180518972944775,0.00360263065981937
"LPBN_x_Po",4,-0.125493871818603,-0.0330898219406433
"LPBN_x_RPBN",4,-0.11417778173847,0.0307912022491763
"LPBN_x_VPM",4,-0.070284492556525,0.00104469294974654
"MD_thal_x_Po",4,-0.193386755408465,-0.238469579677735
"MD_thal_x_RPBN",4,-0.20598933110144,0.0083665499695998
"MD_thal_x_VPM",4,-0.116329193817903,-0.10245916558369
"Po_x_RPBN",4,-0.138511622112333,-0.061812543100258
"Po_x_VPM",4,-0.142261572948715,-0.0319226456068836
"RPBN_x_VPM",4,-0.0744616173643366,0.0158697070280762
"Acc_x_AMY",1,-0.0101465238703409,0.0027767914030741
"AMY_x_LPBN",1,-0.040331146026267,-0.0102444717215822
"AMY_x_MD_thal",1,-0.11974658574557,-0.0948149887931466
"AMY_x_Po",1,-0.0286631742417409,-0.0286785175057239
"AMY_x_RPBN",1,-0.0576728145568546,-0.0272024855713522
"AMY_x_VPM",1,0.0125357188975768,0.0899571620382938
"Acc_x_AMY",2,0.0224941715688929,0.00638110707518801
"AMY_x_LPBN",2,-0.0108852784783804,-0.0139546072749212
"AMY_x_MD_thal",2,-0.121299905540286,-0.107081804929625
"AMY_x_Po",2,-0.0809383546956847,-0.0277611143577864
"AMY_x_RPBN",2,-0.0412486090422919,0.0364868157239164
"AMY_x_VPM",2,-0.0252510201445578,0.0508321417330365
"Acc_x_AMY",3,0.0095777848146863,0.00138421445196595
"AMY_x_LPBN",3,-0.0226378286036229,-0.0116008035382691
"AMY_x_MD_thal",3,-0.117114902490924,-0.101712524632851
"AMY_x_Po",3,-0.0592677915068715,-0.0315287855786896
"AMY_x_RPBN",3,-0.0455550617207521,0.00693523742180154
"AMY_x_VPM",3,-0.0114527834975269,0.0624131424335053
"Acc_x_AMY",4,0.0655724132625329,-0.026075490094141
"AMY_x_LPBN",4,0.011700291160626,0.0112932414633378
"AMY_x_MD_thal",4,-0.141821143263424,-0.132576234904159
"AMY_x_Po",4,-0.109300353640874,-0.0683883359985762
"AMY_x_RPBN",4,-0.0029312241514187,0.0503021043824133
"AMY_x_VPM",4,-0.0635233568536815,0.00210444275259004
