"region","freq_band","pval_type","pval","experiment","data_type","pval_fdr_adjusted","fdr_significant"
"AMY_x_MD_thal",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_MD_thal",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_MD_thal",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_MD_thal",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_MD_thal",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",3,"int_pval",0.0367315054391282,"CGRPaba","coherence",0.0461590867790447,TRUE
"AMY_x_Po",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_Po",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",1,"int_pval",2.46409909820135e-16,"CGRPaba","coherence",4.59965164997585e-16,TRUE
"AMY_x_RPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",3,"int_pval",0.00102294437134783,"CGRPaba","coherence",0.00140576404406082,TRUE
"AMY_x_RPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_RPBN",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
